dataset_id,platform,cdn_prefix,sample,counts_url,counts_bytes,spatial_url,spatial_bytes,image_url,image_bytes,binned_url,binned_bytes,skip_reason
tenx_mouse_brain_serial_section_1_sagittal_poster,Visium,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Posterior/V1_Mouse_Brain_Sagittal_Posterior,V1_Mouse_Brain_Sagittal_Posterior,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Posterior/V1_Mouse_Brain_Sagittal_Posterior_filtered_feature_bc_matrix.h5,20183365,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Posterior/V1_Mouse_Brain_Sagittal_Posterior_spatial.tar.gz,10659366,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Posterior/V1_Mouse_Brain_Sagittal_Posterior_image.tif,404788982,,0,
tenx_mouse_brain_serial_section_2_sagittal_anteri,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2,V1_Mouse_Brain_Sagittal_Anterior_Section_2,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2_filtered_feature_bc_matrix.h5,19291045,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2_spatial.tar.gz,9217330,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2_image.tif,404788976,,0,
tenx_mouse_brain_serial_section_2_sagittal_anteri_2,Visium,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2,V1_Mouse_Brain_Sagittal_Anterior_Section_2,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2_filtered_feature_bc_matrix.h5,19297326,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2_spatial.tar.gz,9419331,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2_image.tif,404788976,,0,
tenx_mouse_brain_serial_section_2_sagittal_anteri_3,Visium,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2,V1_Mouse_Brain_Sagittal_Anterior_Section_2,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2_filtered_feature_bc_matrix.h5,18642329,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2_spatial.tar.gz,10212784,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Anterior_Section_2/V1_Mouse_Brain_Sagittal_Anterior_Section_2_image.tif,404788976,,0,
tenx_mouse_brain_serial_section_2_sagittal_poster,Visium,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Posterior_Section_2/V1_Mouse_Brain_Sagittal_Posterior_Section_2,V1_Mouse_Brain_Sagittal_Posterior_Section_2,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Posterior_Section_2/V1_Mouse_Brain_Sagittal_Posterior_Section_2_filtered_feature_bc_matrix.h5,19917713,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Posterior_Section_2/V1_Mouse_Brain_Sagittal_Posterior_Section_2_spatial.tar.gz,9710456,https://cf.10xgenomics.com/samples/spatial-exp/1.1.0/V1_Mouse_Brain_Sagittal_Posterior_Section_2/V1_Mouse_Brain_Sagittal_Posterior_Section_2_image.tif,404788976,,0,
tenx_mouse_brain_serial_section_2_sagittal_poster_2,Visium,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Posterior_Section_2/V1_Mouse_Brain_Sagittal_Posterior_Section_2,V1_Mouse_Brain_Sagittal_Posterior_Section_2,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Posterior_Section_2/V1_Mouse_Brain_Sagittal_Posterior_Section_2_filtered_feature_bc_matrix.h5,19193917,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Posterior_Section_2/V1_Mouse_Brain_Sagittal_Posterior_Section_2_spatial.tar.gz,10549891,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Brain_Sagittal_Posterior_Section_2/V1_Mouse_Brain_Sagittal_Posterior_Section_2_image.tif,404788976,,0,
tenx_mouse_embryo_11_mm_capture_area_ffpe_2_stand,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/CytAssist_11mm_FFPE_Mouse_Embryo/CytAssist_11mm_FFPE_Mouse_Embryo,CytAssist_11mm_FFPE_Mouse_Embryo,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/CytAssist_11mm_FFPE_Mouse_Embryo/CytAssist_11mm_FFPE_Mouse_Embryo_filtered_feature_bc_matrix.h5,61995358,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/CytAssist_11mm_FFPE_Mouse_Embryo/CytAssist_11mm_FFPE_Mouse_Embryo_spatial.tar.gz,36805709,https://cf.10xgenomics.com/samples/spatial-exp/2.0.0/CytAssist_11mm_FFPE_Mouse_Embryo/CytAssist_11mm_FFPE_Mouse_Embryo_tissue_image.tif,7023040250,,0,
tenx_mouse_kidney_section_coronal_1_standard_1_0_,Visium,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Kidney/V1_Mouse_Kidney,V1_Mouse_Kidney,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Kidney/V1_Mouse_Kidney_filtered_feature_bc_matrix.h5,10785331,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Kidney/V1_Mouse_Kidney_spatial.tar.gz,8531653,https://cf.10xgenomics.com/samples/spatial-exp/1.0.0/V1_Mouse_Kidney/V1_Mouse_Kidney_image.tif,383393847,,0,
tenx_normal_human_prostate_ffpe_1_standard_1_3_0,Visium,https://cf.10xgenomics.com/samples/spatial-exp/1.3.0/Visium_FFPE_Human_Normal_Prostate/Visium_FFPE_Human_Normal_Prostate,Visium_FFPE_Human_Normal_Prostate,https://cf.10xgenomics.com/samples/spatial-exp/1.3.0/Visium_FFPE_Human_Normal_Prostate/Visium_FFPE_Human_Normal_Prostate_filtered_feature_bc_matrix.h5,9306124,https://cf.10xgenomics.com/samples/spatial-exp/1.3.0/Visium_FFPE_Human_Normal_Prostate/Visium_FFPE_Human_Normal_Prostate_spatial.tar.gz,12961070,https://cf.10xgenomics.com/samples/spatial-exp/1.3.0/Visium_FFPE_Human_Normal_Prostate/Visium_FFPE_Human_Normal_Prostate_image.jpg,369729329,,0,
tenx_preservation_method_comparison_on_visium_cyt,Visium,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain,CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain_filtered_feature_bc_matrix.h5,45402987,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain_spatial.tar.gz,34147149,https://cf.10xgenomics.com/samples/spatial-exp/2.1.0/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain/CytAssist_Fixed_Frozen_Sagittal_Mouse_Brain_tissue_image.tif,4866558150,,0,
