folder_name,sample,study,dataset_id,data_access_link,species,organism_ontology_term_id,assay,assay_ontology_term_id,tissue,tissue_ontology_term_id,sex,sex_ontology_term_id,age_num,age_unit,age_group,development_stage_ontology_term_id,disease_level1,disease_level2,disease_level3,disease_ontology_term_id_level1,disease_ontology_term_id_level2,disease_ontology_term_id_level3,self_reported_ethnicity_ontology_term_id,source,raw_on_farm,download_url,H&E_on_farm
Xenium_V1_hPancreas_Cancer_Add_on_FFPE,Xenium Human Pancreas 2,Pancreatic Cancer with Xenium Human Multi-Tissue and Cancer Panel,30,https://www.10xgenomics.com/datasets/pancreatic-cancer-with-xenium-human-multi-tissue-and-cancer-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,pancreas,UBERON:0001264,na,unknown,,,,HsapDv:0000258,cancer,pancreatic_neoplasm,pancreatic_adenocarcinoma,MONDO:0004992,MONDO:0021040,MONDO:0006047,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hPancreas_Cancer_Add_on_FFPE,https://cf.10xgenomics.com/samples/xenium/1.6.0/Xenium_V1_hPancreas_Cancer_Add_on_FFPE/Xenium_V1_hPancreas_Cancer_Add_on_FFPE_outs.zip,
Xenium_V1_hSkin_Melanoma_Base_FFPE,Xenium Human Skin 1,Human Skin Preview Data,31,https://www.10xgenomics.com/datasets/human-skin-preview-data-xenium-human-skin-gene-expression-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,skin,UBERON:0002097,na,unknown,,,,HsapDv:0000258,cancer,skin_cancer,melanoma,MONDO:0004992,MONDO:0002898,MONDO:0005105,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hSkin_Melanoma_Base_FFPE,https://cf.10xgenomics.com/samples/xenium/1.6.0/Xenium_V1_hSkin_Melanoma_Base_FFPE/Xenium_V1_hSkin_Melanoma_Base_FFPE_outs.zip,
Xeniumranger_V1_hSkin_Melanoma_Add_on_FFPE,Xenium Human Skin 2,Human Skin Preview Data,31,https://www.10xgenomics.com/datasets/human-skin-preview-data-xenium-human-skin-gene-expression-panel-add-on-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,skin,UBERON:0002097,na,unknown,,,,HsapDv:0000258,cancer,skin_cancer,melanoma,MONDO:0004992,MONDO:0002898,MONDO:0005105,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xeniumranger_V1_hSkin_Melanoma_Add_on_FFPE,https://cf.10xgenomics.com/samples/xenium/1.7.0/Xeniumranger_V1_hSkin_Melanoma_Add_on_FFPE/Xeniumranger_V1_hSkin_Melanoma_Add_on_FFPE_outs.zip,
Xenium_V1_hHeart_nondiseased_section_FFPE,Xenium Human Heart 1,Xenium Human Heart 1,32,https://www.10xgenomics.com/datasets/human-heart-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,heart,UBERON:0000948,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hHeart_nondiseased_section_FFPE,https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hHeart_nondiseased_section_FFPE/Xenium_V1_hHeart_nondiseased_section_FFPE_outs.zip,
Xenium_V1_hLymphNode_nondiseased_section,Xenium Human Lymph Node 1,Xenium Human Lymph Node 1,33,https://www.10xgenomics.com/datasets/human-lymph-node-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,lymph node,UBERON:0000029,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hLymphNode_nondiseased_section,https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hLymphNode_nondiseased_section/Xenium_V1_hLymphNode_nondiseased_section_outs.zip,
Xenium_V1_human_Pancreas_FFPE,Xenium Human Pancreas 3,FFPE Human Pancreas with Xenium Multimodal Cell Segmentation,34,https://www.10xgenomics.com/datasets/ffpe-human-pancreas-with-xenium-multimodal-cell-segmentation-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,pancreas,UBERON:0001264,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_human_Pancreas_FFPE,https://cf.10xgenomics.com/samples/xenium/2.0.0/Xenium_V1_human_Pancreas_FFPE/Xenium_V1_human_Pancreas_FFPE_outs.zip,
Xenium_V1_hPancreas_nondiseased_section,Xenium Human Pancreas 1,Xenium Human Pancreas 1,35,https://www.10xgenomics.com/datasets/human-pancreas-preview-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,pancreas,UBERON:0001264,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hPancreas_nondiseased_section,https://cf.10xgenomics.com/samples/xenium/1.5.0/Xenium_V1_hPancreas_nondiseased_section/Xenium_V1_hPancreas_nondiseased_section_outs.zip,
Xenium_V1_hSkin_nondiseased_section_1_FFPE,Xenium Human Skin 3 - Section 1,Human Skin Data with Xenium Human Multi-Tissue and Cancer Panel,36,https://www.10xgenomics.com/datasets/human-skin-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,skin,UBERON:0002097,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hSkin_nondiseased_section_1_FFPE,https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hSkin_nondiseased_section_1_FFPE/Xenium_V1_hSkin_nondiseased_section_1_FFPE_outs.zip,
Xenium_V1_hSkin_nondiseased_section_2_FFPE,Xenium Human Skin 3 - Section 2,Human Skin Data with Xenium Human Multi-Tissue and Cancer Panel,36,https://www.10xgenomics.com/datasets/human-skin-data-xenium-human-multi-tissue-and-cancer-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,skin,UBERON:0002097,na,unknown,,,,HsapDv:0000258,healthy,healthy,healthy,PATO:0000461,PATO:0000461,PATO:0000461,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hSkin_nondiseased_section_2_FFPE,https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hSkin_nondiseased_section_2_FFPE/Xenium_V1_hSkin_nondiseased_section_2_FFPE_outs.zip,
Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section,Xenium Human Bone 1 - Acute Lymphoid Leukemia Bone Marrow,Human Bone and Bone Marrow Data with Custom Add-on Panel,37,https://www.10xgenomics.com/datasets/human-bone-and-bone-marrow-data-with-custom-add-on-panel-1-standard,homo_sapiens,NCBITaxon:9606,xenium,EFO:0022615,bone,UBERON:0002481,na,unknown,,,,HsapDv:0000258,hematopoietic_and_lymphoid_system_neoplasm,leukemia,adult_acute_lymphoblastic_leukemia,MONDO:0002334,MONDO:0005059,MONDO:0003541,unknown,online,/lustre/scratch126/cellgen/team361/bc8/cytoweave/nichejepa/original_files/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section,https://cf.10xgenomics.com/samples/xenium/1.9.0/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section/Xenium_V1_hBoneMarrow_acute_lymphoid_leukemia_section_outs.zip,
