dataset_id,hubmap_id,tissue,layout,bytes,files,sprm_derivative,skip_reason
hubmap_hbm348_bskf_594_unspecified_uterus_na,HBM348.BSKF.594,Uterus,sprm_derivative,655829032,121,,"HuBMAP DeepCell + SPRM re-processing of HBM966.BLFS.983; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm349_jmxz_632_unspecified_uterus_na,HBM349.JMXZ.632,Uterus,sprm_derivative,822275724,121,,"HuBMAP DeepCell + SPRM re-processing of HBM829.FTCD.454; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm352_kmnr_697_unspecified_uterus_na,HBM352.KMNR.697,Uterus,sprm_derivative,719835684,121,,"HuBMAP DeepCell + SPRM re-processing of HBM456.CLDP.753; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm352_vrcw_258_unspecified_uterus_na,HBM352.VRCW.258,Uterus,sprm_derivative,819183042,121,,"HuBMAP DeepCell + SPRM re-processing of HBM243.BKXT.647; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm354_jsll_452_mibi_bone_marrow_protein,HBM354.JSLL.452,Bone Marrow,image_only,1073121435,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm357_kzgb_898_unspecified_uterus_na,HBM357.KZGB.898,Uterus,sprm_derivative,838463110,121,,"HuBMAP DeepCell + SPRM re-processing of HBM296.NRCF.473; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm362_qsqq_769_unspecified_uterus_na,HBM362.QSQQ.769,Uterus,sprm_derivative,993808769,121,,"HuBMAP DeepCell + SPRM re-processing of HBM452.KWSP.459; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm362_xdrt_592_mibi_bone_marrow_protein,HBM362.XDRT.592,Bone Marrow,image_only,1731731632,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm363_hmhk_475_unspecified_uterus_na,HBM363.HMHK.475,Uterus,sprm_derivative,746476882,121,,"HuBMAP DeepCell + SPRM re-processing of HBM369.TVNZ.782; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm367_hxvx_992_unspecified_uterus_na,HBM367.HXVX.992,Uterus,sprm_derivative,820793179,121,,"HuBMAP DeepCell + SPRM re-processing of HBM845.PKDG.353; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm368_dmqj_545_mibi_bone_marrow_protein,HBM368.DMQJ.545,Bone Marrow,image_only,470243650,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm372_sfrd_593_mibi_bone_marrow_protein,HBM372.SFRD.593,Bone Marrow,image_only,457699474,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm372_vjlq_498_unspecified_uterus_na,HBM372.VJLQ.498,Uterus,sprm_derivative,688157611,121,,"HuBMAP DeepCell + SPRM re-processing of HBM448.FXRB.555; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm374_cksv_949_unspecified_uterus_na,HBM374.CKSV.949,Uterus,sprm_derivative,636869523,121,,"HuBMAP DeepCell + SPRM re-processing of HBM273.ZHHG.846; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm376_msth_249_unspecified_uterus_na,HBM376.MSTH.249,Uterus,sprm_derivative,938400071,121,,"HuBMAP DeepCell + SPRM re-processing of HBM976.DFCV.879; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm377_kchf_827_mibi_bone_marrow_protein,HBM377.KCHF.827,Bone Marrow,image_only,631911522,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm378_frmp_675_unspecified_uterus_na,HBM378.FRMP.675,Uterus,sprm_derivative,1028880816,121,,"HuBMAP DeepCell + SPRM re-processing of HBM482.NHCD.375; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm384_jnmq_626_unspecified_uterus_na,HBM384.JNMQ.626,Uterus,sprm_derivative,822182228,121,,"HuBMAP DeepCell + SPRM re-processing of HBM695.PKFW.682; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm385_nthw_467_unspecified_uterus_na,HBM385.NTHW.467,Uterus,sprm_derivative,1065489720,121,,"HuBMAP DeepCell + SPRM re-processing of HBM549.CJSK.997; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm387_qlnt_432_unspecified_uterus_na,HBM387.QLNT.432,Uterus,sprm_derivative,678813922,121,,"HuBMAP DeepCell + SPRM re-processing of HBM367.JLJV.287; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm389_nklc_534_unspecified_uterus_na,HBM389.NKLC.534,Uterus,sprm_derivative,897125037,121,,"HuBMAP DeepCell + SPRM re-processing of HBM226.SDCN.999; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm392_xmwr_794_unspecified_uterus_na,HBM392.XMWR.794,Uterus,sprm_derivative,758493716,121,,"HuBMAP DeepCell + SPRM re-processing of HBM729.NHJF.956; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm423_pqmz_473_unspecified_uterus_na,HBM423.PQMZ.473,Uterus,sprm_derivative,856948855,121,,"HuBMAP DeepCell + SPRM re-processing of HBM224.KGNF.646; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm427_dpch_628_unspecified_uterus_na,HBM427.DPCH.628,Uterus,sprm_derivative,827018369,121,,"HuBMAP DeepCell + SPRM re-processing of HBM525.BZJC.926; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm428_qxpr_772_unspecified_uterus_na,HBM428.QXPR.772,Uterus,sprm_derivative,791590208,121,,"HuBMAP DeepCell + SPRM re-processing of HBM495.VXPX.373; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm439_ncmh_676_mibi_bone_marrow_protein,HBM439.NCMH.676,Bone Marrow,image_only,771828328,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm443_bwdp_264_unspecified_uterus_na,HBM443.BWDP.264,Uterus,sprm_derivative,836510607,121,,"HuBMAP DeepCell + SPRM re-processing of HBM297.DGPL.989; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm448_zhnd_632_unspecified_uterus_na,HBM448.ZHND.632,Uterus,sprm_derivative,943729541,121,,"HuBMAP DeepCell + SPRM re-processing of HBM285.RQPT.487; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm449_rpcg_995_mibi_bone_marrow_protein,HBM449.RPCG.995,Bone Marrow,image_only,917900506,9,,lab-processed image only: no segmentation mask or cell table
hubmap_hbm449_snwd_969_unspecified_uterus_na,HBM449.SNWD.969,Uterus,sprm_derivative,801515400,121,,"HuBMAP DeepCell + SPRM re-processing of HBM467.CVLD.644; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm452_rzrz_228_unspecified_uterus_na,HBM452.RZRZ.228,Uterus,sprm_derivative,737695225,121,,"HuBMAP DeepCell + SPRM re-processing of HBM467.RVKV.883; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm454_mhth_883_unspecified_uterus_na,HBM454.MHTH.883,Uterus,sprm_derivative,786376375,121,,"HuBMAP DeepCell + SPRM re-processing of HBM565.BMSB.555; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm458_tqnj_838_unspecified_uterus_na,HBM458.TQNJ.838,Uterus,sprm_derivative,678004187,121,,"HuBMAP DeepCell + SPRM re-processing of HBM634.GHPH.986; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm459_bslc_269_unspecified_uterus_na,HBM459.BSLC.269,Uterus,sprm_derivative,858362688,121,,"HuBMAP DeepCell + SPRM re-processing of HBM327.VPMV.784; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm459_cjwm_725_unspecified_uterus_na,HBM459.CJWM.725,Uterus,sprm_derivative,922220881,119,,"HuBMAP DeepCell + SPRM re-processing of HBM964.TWTV.455; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm466_mcsz_832_unspecified_uterus_na,HBM466.MCSZ.832,Uterus,sprm_derivative,735304925,115,,"HuBMAP DeepCell + SPRM re-processing of HBM439.HFGX.695; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm467_wtjj_952_unspecified_uterus_na,HBM467.WTJJ.952,Uterus,sprm_derivative,458327171,94,,"HuBMAP DeepCell + SPRM re-processing of HBM428.WPXP.979; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
hubmap_hbm468_tpqx_899_unspecified_uterus_na,HBM468.TPQX.899,Uterus,sprm_derivative,1031692703,121,,"HuBMAP DeepCell + SPRM re-processing of HBM457.QJSC.438; SPRM layout, the CODEX/PhenoCycler adapter's domain, and the same section"
