dataset_id,dataset_name,accession,download_url
xenium_adult_mou2026_xenium,Xenium adult mouse brain dataset,10.5281/zenodo.17959756,https://zenodo.org/api/records/17959756/files-archive
nichterwitz2016_lcmseq,LCM-seq dataset 1,GSE52564,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE52nnn/GSE52564/suppl/GSE52564_RAW.tar
nichterwitz2016_lcmseq,LCM-seq dataset 1,GSE76514,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76514/suppl/GSE76514_Mouse_Small_neurons_Hb9_FPKM_table.txt.gz
merfish_dataset_2023_merfish,MERFISH dataset of mouse subventricular zone,GSE95025,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE95nnn/GSE95025/suppl/GSE95025_high_quality_cells_digital_expression.txt.gz
phenocycler_fusi2023_phenocycler,PhenoCycler Fusion dataset,GSE161529,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161529/suppl/GSE161529_features.tsv.gz
cosmx_dataset2023_cosmx,CosMX dataset,GSE161529,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE161nnn/GSE161529/suppl/GSE161529_features.tsv.gz
ou2022_stereo,Stereo-seq human cervical squamous cell carcinoma dataset,GSE63514,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63514/suppl/GSE63514_RAW.tar
boogerd2022_tomo,Human ACM heart Tomo-Seq dataset,GSE114770,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE114nnn/GSE114770/suppl/GSE114770_RAW.tar
visium_spatial_t2024_visium_3,Visium spatial transcriptomics (paediatric),10.5281/zenodo.7693279,https://zenodo.org/api/records/7693279/files-archive
ibex_cyclic_prot2024_ibex_cyclic,IBEX cyclic protein imaging (paediatric),10.5281/zenodo.7693279,https://zenodo.org/api/records/7693279/files-archive
rarecyte_protein2024_rarecyte_pro,RareCyte protein imaging,10.5281/zenodo.7693279,https://zenodo.org/api/records/7693279/files-archive
rnascope_single_2024_rnascope,RNAscope single-molecule fluorescence in situ hybridization,10.5281/zenodo.7693279,https://zenodo.org/api/records/7693279/files-archive
merfish_gut_atla2025_merfish,MERFISH Gut Atlas,GSE143342,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143342/suppl/GSE143342_RAW.tar
nanostring_geomx2025_geomx_2,NanoString GeoMx DSP Whole Transcriptome Atlas (WTA) dataset,GSE171668,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171668/suppl/GSE171668_rsem.genes.counts.matrix.txt.gz
nanostring_geomx2025_geomx_2,NanoString GeoMx DSP Whole Transcriptome Atlas (WTA) dataset,zenodo.org/records/14547678,https://zenodo.org/api/records/14547678/files-archive
nanostring_cosmx2025_cosmx,NanoString CosMx spatial molecular imager dataset,GSE171668,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171668/suppl/GSE171668_rsem.genes.counts.matrix.txt.gz
nanostring_cosmx2025_cosmx,NanoString CosMx spatial molecular imager dataset,zenodo.org/records/14547678,https://zenodo.org/api/records/14547678/files-archive
visium_spatial_t2023_visium_4,Visium spatial transcriptomics (fetal and paediatric),10.5281/zenodo.7693279,https://zenodo.org/api/records/7693279/files-archive
visium_spatial_t2023_visium_4,Visium spatial transcriptomics (fetal and paediatric),GSE147520,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147520/suppl/GSE147520_Bautista_Park_combined.h5ad.gz
visium_spatial_t2023_visium_4,Visium spatial transcriptomics (fetal and paediatric),GSE159745,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159745/suppl/GSE159745_meta.data.csv.gz
ibex_multiplex_i2023_ibex,IBEX multiplex imaging,10.5281/zenodo.7693279,https://zenodo.org/api/records/7693279/files-archive
ibex_multiplex_i2023_ibex,IBEX multiplex imaging,GSE147520,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147520/suppl/GSE147520_Bautista_Park_combined.h5ad.gz
ibex_multiplex_i2023_ibex,IBEX multiplex imaging,GSE159745,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159745/suppl/GSE159745_meta.data.csv.gz
rarecyte_multipl2023_rarecyte_ori,RareCyte multiplex imaging,10.5281/zenodo.7693279,https://zenodo.org/api/records/7693279/files-archive
rarecyte_multipl2023_rarecyte_ori,RareCyte multiplex imaging,GSE147520,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147520/suppl/GSE147520_Bautista_Park_combined.h5ad.gz
rarecyte_multipl2023_rarecyte_ori,RareCyte multiplex imaging,GSE159745,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159745/suppl/GSE159745_meta.data.csv.gz
rnascope_single_2023_rnascope,RNAscope single molecule FISH,10.5281/zenodo.7693279,https://zenodo.org/api/records/7693279/files-archive
rnascope_single_2023_rnascope,RNAscope single molecule FISH,GSE147520,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147520/suppl/GSE147520_Bautista_Park_combined.h5ad.gz
rnascope_single_2023_rnascope,RNAscope single molecule FISH,GSE159745,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE159nnn/GSE159745/suppl/GSE159745_meta.data.csv.gz
bone_marrow_cite2024_10x_genomics,Bone marrow CITE-seq and Infinity Flow datasets,GSM5613757,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM5613nnn/GSM5613757/suppl/GSM5613757_2019-11-04-count-1_RNA_soupx_processed.csv.gz
